Index,date,organisation_code,regional_name,organisation_name,ae_attendances_type_1,ae_attendances_type_2,ae_attendances_other_ae_department,ae_attendances_booked_appointments_type_1,ae_attendances_booked_appointments_type_2,ae_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_to_12hrs_from_dta_to_admission,patients_who_have_waited_12_plus_hours_from_dta_to_admission,emergency_admissions_via_ae_type_1,emergency_admissions_via_ae_type_2,emergency_admissions_via_ae_other_ae_department,other_emergency_admissions
0,01/04/2024,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,01/09/2024,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,01/01/2025,RDY,South West,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3,01/01/2025,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,01/01/2025,RA9,South West,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5843,0,2879,353,0,141,2900,0,14,155,0,0,396,70,2166,0,0,1229
5,01/01/2025,RYF,South West,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1619,0,0,16,0,0,35,0,0,0,0,0,0,0,0,0
6,01/01/2025,RJ8,South West,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,81
7,01/01/2025,NQT5H,South West,PAULTON MEMORIAL HOSPITAL,0,0,913,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
8,01/01/2025,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,01/02/2025,RH5,South West,SOMERSET NHS FOUNDATION TRUST,10816,0,8601,0,0,0,5066,0,168,0,0,0,575,271,2698,0,0,1604
10,01/02/2025,NQT5H,South West,PAULTON MEMORIAL HOSPITAL,0,0,913,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
11,01/02/2025,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3471,0,0,341,0,3557,1509,0,0,101,0,6,192,24,1548,0,0,493
12,01/09/2024,NQT5H,South West,PAULTON MEMORIAL HOSPITAL,0,0,1011,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
13,01/02/2025,RN3,South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4962,0,4772,0,0,0,2388,0,288,0,0,0,403,378,2201,0,0,1323
14,01/09/2024,RJ8,South West,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,57
15,01/02/2025,RD1,South West,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7674,0,0,0,0,0,3269,0,0,0,0,0,763,205,2305,0,12,1594
16,01/02/2025,RA7,South West,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,13998,2114,0,0,0,0,5660,175,0,0,0,0,1118,664,4689,11,0,1483
17,01/02/2025,RVJ,South West,NORTH BRISTOL NHS TRUST,7931,0,0,10,0,0,3221,0,0,4,0,0,379,536,2563,0,0,2324
18,01/02/2025,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,6854,0,0,0,0,0,56,0,0,0,0,0,0,0,0,20
19,01/02/2025,RTE,South West,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,11528,0,0,199,0,0,4563,0,0,58,0,0,378,423,2435,0,0,2179
20,01/02/2025,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4104,276,1584,159,0,0,1929,0,0,79,0,0,477,52,1202,0,0,907
21,01/09/2024,RA9,South West,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6235,0,3242,375,0,127,3248,0,22,180,0,0,363,82,2083,0,0,1131
22,01/09/2024,RDY,South West,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
23,01/02/2025,R0D,South West,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,11840,0,4341,0,0,0,4892,0,0,0,0,0,960,275,3751,1,0,2204
24,01/02/2025,RH8,South West,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,10851,0,3918,1168,0,51,4790,0,16,477,0,1,1386,79,3104,0,0,1787
25,01/09/2024,RK9,South West,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8884,166,5169,0,0,0,4692,0,98,0,0,0,641,430,2791,0,0,1289
26,01/01/2025,NLX,South West,SIRONA CARE & HEALTH,0,0,7710,0,0,346,0,0,333,0,0,45,0,0,0,0,0,0
27,01/02/2025,NLX,South West,SIRONA CARE & HEALTH,0,0,7473,0,0,356,0,0,340,0,0,45,0,0,0,0,0,0
28,01/01/2025,R0D,South West,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,12296,0,4726,0,0,0,4996,0,0,0,0,0,1043,484,4019,0,0,2517
29,01/01/2025,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2116,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
30,01/07/2024,RA9,South West,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6774,0,3574,397,0,144,3060,0,15,163,0,1,320,45,2181,0,0,1206
31,01/07/2024,RA7,South West,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,15165,2339,0,0,0,0,5206,133,0,0,0,0,1140,146,5280,8,0,1468
32,01/07/2024,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7578,0,0,0,0,0,15,0,0,0,0,0,0,0,0,32
33,01/07/2024,NLX,South West,SIRONA CARE & HEALTH,0,0,8873,0,0,311,0,0,496,0,0,56,0,0,0,0,0,0
34,01/07/2024,RDY,South West,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,01/07/2024,NQT5H,South West,PAULTON MEMORIAL HOSPITAL,0,0,1029,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
36,01/07/2024,RK9,South West,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,9222,131,5305,0,0,0,5130,0,233,0,0,0,716,561,2984,0,0,1272
37,01/07/2024,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,01/07/2024,RYF,South West,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1664,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0
39,01/07/2024,RJ8,South West,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,67
40,01/07/2024,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,01/01/2025,RD1,South West,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7900,0,0,0,0,0,3122,0,0,0,0,0,836,204,2539,0,6,1807
42,01/01/2025,RVJ,South West,NORTH BRISTOL NHS TRUST,8183,0,0,19,0,0,3292,0,0,5,0,0,477,545,2920,0,0,2321
43,01/01/2025,RTE,South West,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12179,0,0,199,0,0,4551,0,0,49,0,0,392,569,2635,0,0,2408
44,01/01/2025,RN3,South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5176,0,5001,0,0,0,2581,0,109,0,0,0,422,498,2350,0,0,1424
45,01/10/2024,RH5,South West,SOMERSET NHS FOUNDATION TRUST,13140,0,9517,0,0,0,5631,0,236,0,0,0,491,78,3303,0,0,2173
46,01/01/2025,RH8,South West,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11393,0,4152,1181,0,88,5065,0,5,420,0,1,1774,261,3644,0,0,1948
47,01/01/2025,RH5,South West,SOMERSET NHS FOUNDATION TRUST,11562,0,9286,0,0,1,5403,0,133,0,0,0,830,329,2994,0,0,1761
48,01/10/2024,RN3,South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5742,0,5558,0,0,0,2707,0,393,0,0,0,683,268,2574,0,0,1407
49,01/01/2025,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4372,326,1715,132,0,0,1699,0,0,53,0,0,470,19,1312,0,0,1026
50,01/01/2025,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3841,0,0,347,0,3817,1873,0,0,112,0,4,225,93,1760,0,0,556
51,01/01/2025,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7168,0,0,0,0,0,42,0,0,0,0,0,0,0,0,21
52,01/01/2025,REF,South West,ROYAL CORNWALL HOSPITALS NHS TRUST,5987,0,10682,0,0,0,3231,0,657,0,0,0,778,545,2492,0,48,1211
53,01/10/2024,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4194,0,0,384,0,4079,1726,0,0,88,0,2,213,41,1880,0,0,506
54,01/01/2025,RA7,South West,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,14626,2376,0,0,0,0,5610,177,0,0,0,0,968,909,5092,10,0,1747
55,01/01/2025,RK9,South West,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8603,160,4975,0,0,0,4558,1,93,0,0,0,327,860,2776,0,0,1457
56,01/10/2024,RVJ,South West,NORTH BRISTOL NHS TRUST,9291,0,0,26,0,0,3842,0,0,6,0,0,626,419,3223,0,0,2096
57,01/02/2025,REF,South West,ROYAL CORNWALL HOSPITALS NHS TRUST,5765,0,10121,0,0,0,3114,0,487,0,0,0,666,253,2361,0,35,1046
58,01/02/2025,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2090,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
59,01/12/2024,RDY,South West,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
60,01/12/2024,NQT5H,South West,PAULTON MEMORIAL HOSPITAL,0,0,919,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
61,01/12/2024,L83087,South West,OKEHAMPTON MEDICAL CENTRE,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,01/12/2024,AAH,South West,TETBURY HOSPITAL TRUST LTD,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,01/12/2024,RJ8,South West,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74
64,01/09/2024,R0D,South West,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,12978,0,4777,0,0,0,4879,0,0,0,0,0,752,128,3915,0,0,2245
65,01/08/2024,RD1,South West,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,8167,0,0,0,0,0,3025,0,0,0,0,0,560,15,2434,0,7,1471
66,01/09/2024,RH8,South West,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12118,0,4225,1109,0,64,4581,0,33,327,0,1,1330,31,3836,0,0,2141
67,01/08/2024,RTE,South West,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12375,0,0,220,0,0,4612,0,0,61,0,0,586,394,2569,0,0,1970
68,01/08/2024,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4489,334,1814,176,0,0,1846,0,0,75,0,0,379,2,1309,0,0,862
69,01/08/2024,RH5,South West,SOMERSET NHS FOUNDATION TRUST,12836,0,9360,0,0,1,4814,0,141,0,0,0,322,38,3088,0,0,2011
70,01/08/2024,R0D,South West,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13227,0,5108,0,0,0,4636,0,0,0,0,0,520,34,4203,6,0,2250
71,01/09/2024,RN3,South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5531,0,5535,0,0,0,2339,0,160,0,0,0,580,0,2495,0,0,1312
72,01/09/2024,RNZ,South West,SALISBURY NHS FOUNDATION TRUST,4560,297,1619,132,0,0,2027,0,0,51,0,0,413,8,1290,0,0,869
73,01/08/2024,RH8,South West,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12797,0,4349,1256,0,88,4835,0,38,417,0,3,923,18,3964,0,0,2052
74,01/08/2024,REF,South West,ROYAL CORNWALL HOSPITALS NHS TRUST,6978,0,13933,0,0,0,4106,0,1106,0,0,0,691,375,2357,0,85,1365
75,01/09/2024,RTE,South West,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12384,0,0,164,0,0,4818,0,0,45,0,0,429,407,2604,0,0,1979
76,01/08/2024,RVJ,South West,NORTH BRISTOL NHS TRUST,8834,0,0,11,0,0,3410,0,0,4,0,0,662,83,2664,0,0,1798
77,01/08/2024,RN3,South West,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5235,0,5541,0,0,4,2055,0,157,0,0,0,602,0,2433,0,0,1248
78,01/08/2024,NLX,South West,SIRONA CARE & HEALTH,0,0,8236,0,0,306,0,0,278,0,0,61,0,0,0,0,0,0
79,01/08/2024,RTQ,South West,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,7444,0,0,0,0,0,29,0,0,0,0,0,0,0,0,19
80,01/08/2024,RA7,South West,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,14153,2323,0,0,0,0,4271,97,0,0,0,0,796,82,4993,10,0,1412
81,01/08/2024,AXG,South West,WILTSHIRE HEALTH & CARE,0,0,2574,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
82,01/09/2024,RYF,South West,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1656,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0
83,01/08/2024,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4587,0,0,363,0,4493,1653,0,0,87,0,14,189,42,1899,0,0,489
84,01/12/2024,RA9,South West,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6285,0,2940,495,0,172,3208,0,42,216,0,2,374,80,2175,0,0,1235
85,01/02/2025,RDY,South West,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
86,01/12/2024,RBD,South West,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4150,0,0,394,0,4127,2053,0,0,110,0,13,264,42,1764,0,0,507
87,01/12/2024,NLX,South West,SIRONA CARE & HEALTH,0,0,7664,0,0,382,0,0,348,0,0,75,0,0,0,0,0,0
88,01/02/2025,RK9,South West,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8072,131,4653,0,0,0,4218,0,101,0,0,0,483,541,2599,0,0,1331
