Index,date,regional_code,regional_name,organisation_code,organisation_name,diagnostic_id,diagnostic_test_name,total_waiting_list,number_waiting_6_plus_weeks,number_waiting_13_plus_weeks,percentage_waiting_6_plus_weeks,planned_tests_or_procedures,unscheduled_tests_or_procedures,waiting_list_tests_or_procedures_excluding_planned
432,01/04/2024,Y61,East of England ,NT315,Spire Bushey Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,5
434,01/04/2024,Y61,East of England ,RQW,The Princess Alexandra Hospital NHS Trust,6,Audiology - Audiology Assessments,722,480,232,0.665,120,0,41
451,01/04/2024,Y61,East of England ,NT316,Spire Harpenden Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,5
457,01/04/2024,Y61,East of England ,NQA,Provide,6,Audiology - Audiology Assessments,202,29,0,0.144,0,0,188
458,01/04/2024,Y61,East of England ,RGN,North West Anglia NHS Foundation Trust,6,Audiology - Audiology Assessments,537,387,68,0.721,65,0,354
464,01/04/2024,Y61,East of England ,RGR,West Suffolk NHS Foundation Trust,6,Audiology - Audiology Assessments,1094,587,173,0.537,0,0,369
465,01/04/2024,Y61,East of England ,RWG,West Hertfordshire Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,1238,706,121,0.57,0,0,208
468,01/04/2024,Y61,East of England ,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6,Audiology - Audiology Assessments,263,61,10,0.232,13,0,199
476,01/04/2024,Y61,East of England ,RGT,Cambridge University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,1086,610,275,0.562,285,0,952
477,01/04/2024,Y61,East of England ,RYV,Cambridgeshire Community Services NHS Trust,6,Audiology - Audiology Assessments,2085,1895,1394,0.909,0,0,193
478,01/04/2024,Y61,East of England ,RDE,East Suffolk and North Essex NHS Foundation Trust,6,Audiology - Audiology Assessments,523,1,0,0.002,13,0,645
480,01/04/2024,Y61,East of England ,RGP,James Paget University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,265,19,0,0.072,34,0,260
482,01/04/2024,Y61,East of England ,RAJ,Mid and South Essex NHS Foundation Trust,6,Audiology - Audiology Assessments,854,162,16,0.19,126,0,1464
486,01/04/2024,Y61,East of England ,RD8,Milton Keynes University Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,1430,1013,616,0.708,8,0,151
488,01/04/2024,Y61,East of England ,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,506,91,4,0.18,298,0,361
489,01/04/2024,Y61,East of England ,RC9,Bedfordshire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,718,514,288,0.716,0,0,177
5484,01/04/2024,Y56,London ,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,302,2,0,0.007,810,0,0
5539,01/04/2024,Y56,London ,RKE,Whittington Health NHS Trust,6,Audiology - Audiology Assessments,640,40,0,0.063,13,0,616
5552,01/04/2024,Y56,London ,RV3,Central and North West London NHS Foundation Trust,6,Audiology - Audiology Assessments,158,20,0,0.127,0,0,188
5555,01/04/2024,Y56,London ,NQV,Bromley Healthcare,6,Audiology - Audiology Assessments,224,50,0,0.223,52,0,93
5556,01/04/2024,Y56,London ,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,2361,1577,1020,0.668,211,204,1090
5557,01/04/2024,Y56,London ,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,187,0,0,0,0,0,471
7035,01/04/2024,Y56,London ,RAL,Royal Free London NHS Foundation Trust,6,Audiology - Audiology Assessments,474,1,0,0.002,0,359,513
7038,01/04/2024,Y56,London ,RPG,Oxleas NHS Foundation Trust,6,Audiology - Audiology Assessments,52,43,1,0.827,76,0,24
7041,01/04/2024,Y56,London ,RAT,North East London NHS Foundation Trust,6,Audiology - Audiology Assessments,660,358,59,0.542,76,0,141
7045,01/04/2024,Y56,London ,R1K,London North West University Healthcare NHS Trust,6,Audiology - Audiology Assessments,247,116,78,0.47,0,0,347
7047,01/04/2024,Y56,London ,RJ2,Lewisham and Greenwich NHS Trust,6,Audiology - Audiology Assessments,65,1,0,0.015,0,0,75
7049,01/04/2024,Y56,London ,RAX,Kingston Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,463,90,3,0.194,163,0,224
7064,01/04/2024,Y56,London ,RKL,West London NHS Trust,6,Audiology - Audiology Assessments,107,0,0,0,347,0,0
7067,01/04/2024,Y56,London ,RRV,University College London Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,5,0,0,0,0,0,60
7069,01/04/2024,Y56,London ,RJ7,St George's University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,8,0,0,0,3,0,12
7097,01/04/2024,Y56,London ,RJZ,King's College Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,7,4,2,0.571,0,0,9
7098,01/04/2024,Y56,London ,RYJ,Imperial College Healthcare NHS Trust,6,Audiology - Audiology Assessments,443,28,4,0.063,205,0,792
7101,01/04/2024,Y56,London ,RY9,Hounslow and Richmond Community Healthcare NHS Trust,6,Audiology - Audiology Assessments,223,0,0,0,0,0,279
7104,01/04/2024,Y56,London ,RJ1,Guy's and St Thomas' NHS Foundation Trust,6,Audiology - Audiology Assessments,1168,442,101,0.378,479,0,502
7147,01/04/2024,Y56,London ,RAS,The Hillingdon Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,1135,560,212,0.493,139,0,538
7203,01/04/2024,Y56,London ,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,6,Audiology - Audiology Assessments,91,41,13,0.451,0,1,668
7206,01/04/2024,Y56,London ,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,102,0,0,0,0,0,971
7208,01/04/2024,Y56,London ,RVR,Epsom and St Helier University Hospitals NHS Trust,6,Audiology - Audiology Assessments,224,25,3,0.112,1,0,1367
7311,01/04/2024,Y56,London ,RJ6,Croydon Health Services NHS Trust,6,Audiology - Audiology Assessments,1540,880,240,0.571,0,0,352
8337,01/04/2024,Y60,Midlands ,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,6,Audiology - Audiology Assessments,1445,856,507,0.592,145,372,730
8343,01/04/2024,Y60,Midlands ,RKB,University Hospitals Coventry and Warwickshire NHS Trust,6,Audiology - Audiology Assessments,832,400,180,0.481,0,0,557
8345,01/04/2024,Y60,Midlands ,RQ3,Birmingham Women's and Children's NHS Foundation Trust,6,Audiology - Audiology Assessments,191,8,0,0.042,238,0,379
8346,01/04/2024,Y60,Midlands ,RFS,Chesterfield Royal Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,1840,1302,718,0.708,695,0,315
8347,01/04/2024,Y60,Midlands ,RYG,Coventry and Warwickshire Partnership NHS Trust,6,Audiology - Audiology Assessments,127,0,0,0,10,0,100
8348,01/04/2024,Y60,Midlands ,RLT,George Eliot Hospital NHS Trust,6,Audiology - Audiology Assessments,0,0,0,0,0,0,57
8349,01/04/2024,Y60,Midlands ,RRK,University Hospitals Birmingham NHS Foundation Trust,6,Audiology - Audiology Assessments,556,200,35,0.36,903,0,0
8350,01/04/2024,Y60,Midlands ,RNQ,Kettering General Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,454,43,4,0.095,456,0,560
8351,01/04/2024,Y60,Midlands ,RWD,United Lincolnshire Hospitals NHS Trust,6,Audiology - Audiology Assessments,1061,553,100,0.521,10,11,417
8352,01/04/2024,Y60,Midlands ,RT5,Leicestershire Partnership NHS Trust,6,Audiology - Audiology Assessments,2370,1780,1069,0.751,0,0,259
8353,01/04/2024,Y60,Midlands ,RXW,The Shrewsbury and Telford Hospital NHS Trust,6,Audiology - Audiology Assessments,2441,1330,291,0.545,15,0,1011
8354,01/04/2024,Y60,Midlands ,RRE,Midlands Partnership NHS Foundation Trust,6,Audiology - Audiology Assessments,1120,952,776,0.85,40,0,150
