Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,302,2,0,0.70%,0,130,95,40,16,19,2,0,0,0,0,0,0,0,,810,0,0
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,16,Total,302,2,0,0.70%,0,130,95,40,16,19,2,0,0,0,0,0,0,0,,810,0,0
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"4,162",400,50,9.60%,879,855,682,555,378,413,92,61,68,52,36,27,14,50,,99,746,"3,339"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,830",48,0,2.60%,623,471,280,205,121,82,16,21,4,3,2,1,1,0,,211,"1,362","5,829"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,629",49,6,1.40%,"1,349",963,767,391,67,43,15,12,8,5,0,1,2,6,,378,"1,776","7,135"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,214,0,0,0.00%,78,72,44,18,1,1,0,0,0,0,0,0,0,0,,14,5,221
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,187,0,0,0.00%,77,86,15,6,2,1,0,0,0,0,0,0,0,0,,0,0,471
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,537,0,0,0.00%,129,153,127,90,27,11,0,0,0,0,0,0,0,0,,171,496,593
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,216,143,6,66.20%,18,6,7,23,8,11,27,34,30,16,11,15,4,6,,0,0,257
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,437,124,3,28.40%,69,75,32,46,38,53,82,39,0,0,0,0,0,3,,60,0,192
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,16,2,1,12.50%,4,3,4,3,0,0,1,0,0,0,0,0,0,1,,0,0,22
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,342,3,0,0.90%,21,104,71,72,48,23,1,1,1,0,0,0,0,0,,108,0,341
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,86,1,0,1.20%,8,25,18,9,11,14,1,0,0,0,0,0,0,0,,27,0,71
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",14,Cystoscopy,32,7,2,21.90%,1,11,4,0,3,6,2,0,0,3,0,0,0,2,,11,0,26
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,300,5,0,1.70%,20,103,64,78,18,12,2,2,0,0,0,0,1,0,,60,0,439
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",16,Total,"11,988",782,68,6.50%,"3,276","2,927","2,115","1,496",722,670,239,170,111,79,49,44,22,68,,"1,139","4,385","18,936"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,1,Magnetic Resonance Imaging,"5,729","1,223",138,21.30%,"1,134","1,116",856,605,353,442,214,243,159,141,102,124,102,138,,629,"1,836","3,166"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,2,Computed Tomography,"4,041",673,50,16.70%,"1,060",859,594,356,218,281,143,148,121,82,29,64,36,50,,941,"5,064","4,605"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,3,Non-obstetric Ultrasound,"20,964","5,106",599,24.40%,"3,638","3,196","2,689","2,529","1,634","2,172","1,279",746,579,549,502,487,365,599,,832,"3,873","11,375"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,5,DEXA Scan,"1,698",832,15,49.00%,228,125,126,172,77,138,124,160,134,139,100,99,61,15,,28,32,335
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,"2,361","1,577","1,020",66.80%,182,170,135,133,72,92,82,85,67,70,133,63,57,"1,020",,211,204,"1,090"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,7,Cardiology - Echocardiography,"1,182",0,0,0.00%,377,251,201,194,90,69,0,0,0,0,0,0,0,0,,"1,398","1,640","1,347"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,8,Cardiology - Electrophysiology,2,1,0,50.00%,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,3
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,9,Neurophysiology - Peripheral Neurophysiology,323,221,185,68.40%,24,25,15,13,9,16,6,7,4,3,4,6,6,185,,5,0,158
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,10,Respiratory physiology - Sleep Studies,106,3,3,2.80%,22,14,25,9,17,16,0,0,0,0,0,0,0,3,,806,3,160
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,11,Urodynamics - Pressures & Flows,133,57,48,42.90%,38,19,7,0,9,3,3,0,1,0,1,1,3,48,,33,0,13
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,12,Colonoscopy,907,74,14,8.20%,166,196,164,99,107,101,14,20,11,2,6,3,4,14,,35,3,502
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,13,Flexi Sigmoidoscopy,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,16,141
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,14,Cystoscopy,371,155,90,41.80%,29,33,44,26,22,62,27,9,5,0,8,5,11,90,,19,13,66
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,15,Gastroscopy,919,244,51,26.60%,171,152,108,89,55,100,39,60,30,10,28,7,19,51,,42,68,784
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,16,Total,"38,736","10,166","2,213",26.20%,"7,069","6,156","4,965","4,225","2,663","3,492","1,931","1,478","1,111",996,913,859,665,"2,213",,"4,986","12,752","23,745"
Y56,London Commissioning Region,ADW,Beehive Solutions Ltd,3,Non-obstetric Ultrasound,133,0,0,0.00%,13,28,32,29,31,0,0,0,0,0,0,0,0,0,,"1,642",0,16
Y56,London Commissioning Region,ADW,Beehive Solutions Ltd,16,Total,133,0,0,0.00%,13,28,32,29,31,0,0,0,0,0,0,0,0,0,,"1,642",0,16
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,1,Magnetic Resonance Imaging,21,0,0,0.00%,13,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,78
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,3,Non-obstetric Ultrasound,10,0,0,0.00%,4,4,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,24
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,14,Cystoscopy,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,16,Total,31,0,0,0.00%,17,8,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,103
Y56,London Commissioning Region,NT406,Blackheath Hospital,1,Magnetic Resonance Imaging,31,0,0,0.00%,17,8,5,0,1,0,0,0,0,0,0,0,0,0,,0,0,88
Y56,London Commissioning Region,NT406,Blackheath Hospital,2,Computed Tomography,4,0,0,0.00%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,24
Y56,London Commissioning Region,NT406,Blackheath Hospital,3,Non-obstetric Ultrasound,35,0,0,0.00%,20,9,6,0,0,0,0,0,0,0,0,0,0,0,,0,0,46
Y56,London Commissioning Region,NT406,Blackheath Hospital,12,Colonoscopy,5,0,0,0.00%,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,9
Y56,London Commissioning Region,NT406,Blackheath Hospital,13,Flexi Sigmoidoscopy,13,0,0,0.00%,5,4,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,8
Y56,London Commissioning Region,NT406,Blackheath Hospital,14,Cystoscopy,11,2,0,18.20%,4,1,3,0,1,0,2,0,0,0,0,0,0,0,,0,0,5
Y56,London Commissioning Region,NT406,Blackheath Hospital,15,Gastroscopy,5,0,0,0.00%,2,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,10
Y56,London Commissioning Region,NT406,Blackheath Hospital,16,Total,104,2,0,1.90%,55,23,21,1,2,0,2,0,0,0,0,0,0,0,,0,0,190
Y56,London Commissioning Region,NQV,Bromley Healthcare,6,Audiology - Audiology Assessments,224,50,0,22.30%,31,37,36,30,13,27,26,11,11,1,0,1,0,0,,52,0,93
Y56,London Commissioning Region,NQV,Bromley Healthcare,16,Total,224,50,0,22.30%,31,37,36,30,13,27,26,11,11,1,0,1,0,0,,52,0,93
Y56,London Commissioning Region,NT451,Cavell Hospital,1,Magnetic Resonance Imaging,5,0,0,0.00%,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,24
Y56,London Commissioning Region,NT451,Cavell Hospital,2,Computed Tomography,3,0,0,0.00%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,16
Y56,London Commissioning Region,NT451,Cavell Hospital,3,Non-obstetric Ultrasound,6,1,0,16.70%,1,0,1,3,0,0,0,1,0,0,0,0,0,0,,0,0,9
Y56,London Commissioning Region,NT451,Cavell Hospital,7,Cardiology - Echocardiography,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
Y56,London Commissioning Region,NT451,Cavell Hospital,12,Colonoscopy,10,1,0,10.00%,0,0,0,7,2,0,0,1,0,0,0,0,0,0,,0,0,28
Y56,London Commissioning Region,NT451,Cavell Hospital,13,Flexi Sigmoidoscopy,4,0,0,0.00%,0,0,0,2,1,1,0,0,0,0,0,0,0,0,,0,0,8
Y56,London Commissioning Region,NT451,Cavell Hospital,14,Cystoscopy,1,1,0,100.00%,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,4
Y56,London Commissioning Region,NT451,Cavell Hospital,15,Gastroscopy,16,0,0,0.00%,1,0,0,10,4,1,0,0,0,0,0,0,0,0,,0,0,26
Y56,London Commissioning Region,NT451,Cavell Hospital,16,Total,45,3,0,6.70%,8,1,2,22,7,2,0,2,0,0,0,1,0,0,,0,0,116
Y56,London Commissioning Region,RV3,Central and North West London NHS Foundation Trust,6,Audiology - Audiology Assessments,158,20,0,12.70%,35,27,25,12,6,33,18,0,0,0,1,1,0,0,,0,0,188
