Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,268,0,0,0.00%,0,118,83,51,14,2,0,0,0,0,0,0,0,0,,929,0,0
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,16,Total,268,0,0,0.00%,0,118,83,51,14,2,0,0,0,0,0,0,0,0,,929,0,0
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"2,577",155,53,6.00%,661,605,470,448,182,56,28,22,13,14,11,8,6,53,,159,676,"4,380"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,946",57,8,2.90%,533,473,282,305,238,58,5,12,11,7,11,2,1,8,,328,"1,578","5,808"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,987",58,15,1.50%,"1,179",834,658,753,329,176,18,6,5,6,5,2,1,15,,333,"1,596","7,115"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",4,Barium Enema,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,292,0,0,0.00%,63,87,70,53,18,1,0,0,0,0,0,0,0,0,,21,2,239
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,168,0,0,0.00%,46,70,48,4,0,0,0,0,0,0,0,0,0,0,,0,24,501
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,281,1,0,0.40%,24,64,57,94,34,7,1,0,0,0,0,0,0,0,,239,446,581
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,133,6,0,4.50%,5,5,17,34,34,32,2,0,2,2,0,0,0,0,,0,0,112
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,537,172,0,32.00%,43,45,95,80,24,78,42,70,46,13,1,0,0,0,,54,0,211
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,35,6,3,17.10%,0,8,10,4,3,4,2,0,0,0,1,0,0,3,,0,0,21
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,391,6,0,1.50%,76,124,83,57,33,12,5,1,0,0,0,0,0,0,,89,0,334
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,76,4,0,5.30%,5,12,18,16,15,6,2,1,0,1,0,0,0,0,,32,0,101
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",14,Cystoscopy,24,8,2,33.30%,2,6,0,4,2,2,2,1,1,0,0,1,1,2,,27,0,27
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,356,6,0,1.70%,52,103,90,48,38,19,3,1,0,1,1,0,0,0,,93,0,373
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",16,Total,"10,803",479,81,4.40%,"2,689","2,436","1,898","1,900",950,451,110,114,78,44,30,13,9,81,,"1,376","4,322","19,803"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,1,Magnetic Resonance Imaging,"7,346","2,328",519,31.70%,957,990,901,713,747,710,396,324,259,228,215,182,205,519,,767,"1,735","3,123"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,2,Computed Tomography,"3,194",422,6,13.20%,776,687,502,336,275,196,120,96,95,68,26,10,1,6,,914,"5,218","5,321"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,3,Non-obstetric Ultrasound,"14,942","2,156",717,14.40%,"2,520","2,689","2,254","1,934","1,870","1,519",381,265,201,166,177,140,109,717,,974,"4,037","11,359"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,4,Barium Enema,1,0,0,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,5,DEXA Scan,"1,724",758,261,44.00%,154,151,164,176,195,126,88,84,65,62,65,54,79,261,,57,35,587
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,"2,626","1,759",992,67.00%,152,152,115,137,121,190,141,118,95,111,106,112,84,992,,262,210,974
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,7,Cardiology - Echocardiography,"1,080",6,4,0.60%,310,203,217,152,119,73,0,2,0,0,0,0,0,4,,"1,552","1,464","1,318"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,8,Cardiology - Electrophysiology,1,0,0,0.00%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,9,Neurophysiology - Peripheral Neurophysiology,308,192,156,62.30%,23,25,17,20,9,22,2,10,8,2,5,2,7,156,,5,0,123
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,10,Respiratory physiology - Sleep Studies,146,23,19,15.80%,12,5,41,31,14,20,1,0,1,0,0,2,0,19,,909,3,157
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,11,Urodynamics - Pressures & Flows,290,96,59,33.10%,57,43,33,25,17,19,9,16,2,2,3,2,3,59,,7,0,18
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,12,Colonoscopy,970,121,51,12.50%,135,193,162,149,133,77,9,13,13,3,12,6,14,51,,28,6,496
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,13,Flexi Sigmoidoscopy,234,51,30,21.80%,21,28,36,33,43,22,4,3,3,3,2,3,3,30,,5,15,135
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,14,Cystoscopy,668,360,247,53.90%,26,51,57,106,38,30,37,29,12,3,13,16,3,247,,26,13,89
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,15,Gastroscopy,"1,071",264,145,24.60%,127,192,153,152,108,75,8,21,9,18,26,28,9,145,,44,39,748
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,16,Total,"34,601","8,536","3,206",24.70%,"5,271","5,410","4,652","3,964","3,689","3,079","1,196",981,763,666,650,557,517,"3,206",,"5,550","12,775","24,450"
Y56,London Commissioning Region,ADW,Beehive Solutions Ltd,3,Non-obstetric Ultrasound,132,0,0,0.00%,11,25,28,31,37,0,0,0,0,0,0,0,0,0,,"1,673",0,7
