Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,365,0,0,0.00%,0,123,136,78,16,12,0,0,0,0,0,0,0,0,,"1,036",0,0
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,16,Total,365,0,0,0.00%,0,123,136,78,16,12,0,0,0,0,0,0,0,0,,"1,036",0,0
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"2,025",146,70,7.20%,461,618,438,246,80,36,17,13,14,8,10,8,6,70,,205,610,"3,619"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,854",54,0,2.90%,359,520,355,305,189,72,27,10,7,1,4,4,1,0,,290,"1,510","6,352"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"4,092",68,15,1.70%,767,"1,095",861,572,634,95,24,16,2,4,1,5,1,15,,291,"1,531","7,076"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,273,0,0,0.00%,29,87,80,56,21,0,0,0,0,0,0,0,0,0,,10,2,250
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,208,1,0,0.50%,25,64,67,30,14,7,1,0,0,0,0,0,0,0,,0,33,509
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,300,0,0,0.00%,33,78,80,78,23,8,0,0,0,0,0,0,0,0,,213,416,891
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,117,0,0,0.00%,2,7,51,30,26,1,0,0,0,0,0,0,0,0,,0,0,154
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,596,182,14,30.50%,19,99,60,93,75,68,39,10,31,47,31,8,2,14,,32,0,228
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,26,5,2,19.20%,0,3,6,2,5,5,1,1,0,0,0,1,0,2,,0,0,19
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,337,2,0,0.60%,32,89,104,64,30,16,1,1,0,0,0,0,0,0,,112,0,384
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,89,3,2,3.40%,4,24,26,14,14,4,0,1,0,0,0,0,0,2,,29,0,74
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",14,Cystoscopy,18,5,2,27.80%,0,0,4,6,2,1,1,1,0,0,1,0,0,2,,21,0,26
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,356,5,2,1.40%,31,111,80,66,46,17,2,1,0,0,0,0,0,2,,79,0,441
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",16,Total,"10,291",471,107,4.60%,"1,762","2,795","2,212","1,562","1,159",330,113,54,54,60,47,26,10,107,,"1,282","4,102","20,023"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,1,Magnetic Resonance Imaging,"8,134","3,767","1,485",46.30%,546,830,845,719,774,653,464,374,328,303,256,268,289,"1,485",,610,"1,912","3,080"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,2,Computed Tomography,"2,993",163,12,5.40%,478,774,616,414,324,224,49,41,21,17,14,5,4,12,,834,"5,940","5,296"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,3,Non-obstetric Ultrasound,"13,571","1,693",242,12.50%,"1,495","2,467","2,358","2,201","1,934","1,423",482,300,215,195,125,83,51,242,,789,"3,764","8,841"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,4,Barium Enema,2,1,0,50.00%,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,5,DEXA Scan,"2,590","1,750","1,009",67.60%,60,134,161,172,176,137,97,126,97,91,104,110,116,"1,009",,37,47,395
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,"2,627","1,467","1,237",55.80%,99,212,235,244,181,189,36,29,56,30,33,16,30,"1,237",,77,0,824
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,7,Cardiology - Echocardiography,"1,479",76,74,5.10%,232,281,249,243,212,186,0,0,0,0,2,0,0,74,,"1,054","1,481","1,331"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,8,Cardiology - Electrophysiology,1,0,0,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,9,Neurophysiology - Peripheral Neurophysiology,62,39,37,62.90%,1,4,3,3,10,2,0,1,1,0,0,0,0,37,,1,0,210
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,10,Respiratory physiology - Sleep Studies,194,124,120,63.90%,2,19,31,12,3,3,2,1,1,0,0,0,0,120,,741,1,139
