Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"2,785",128,52,4.60%,758,638,678,406,110,67,28,6,4,13,9,5,11,52,,199,706,"3,147"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,686",44,3,2.60%,529,383,326,256,131,17,12,11,6,7,3,0,2,3,,337,"1,452","5,959"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,343",50,16,1.50%,833,604,690,557,511,98,7,9,1,6,3,5,3,16,,337,"1,868","7,269"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,266,0,0,0.00%,70,96,58,40,2,0,0,0,0,0,0,0,0,0,,17,2,240
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,143,1,0,0.70%,44,54,19,12,9,4,0,0,0,0,1,0,0,0,,0,12,436
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,298,0,0,0.00%,103,67,70,46,8,4,0,0,0,0,0,0,0,0,,132,498,693
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,164,0,0,0.00%,16,29,35,37,33,14,0,0,0,0,0,0,0,0,,0,0,100
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,646,143,2,22.10%,79,100,114,79,64,67,22,35,22,27,28,1,6,2,,67,0,234
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,23,6,3,26.10%,3,3,3,5,3,0,1,2,0,0,0,0,0,3,,0,0,22
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,229,2,0,0.90%,72,63,41,18,18,15,1,1,0,0,0,0,0,0,,159,0,328
