Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"2,529",159,70,6.30%,880,665,514,209,59,43,36,15,8,16,5,5,4,70,,226,626,"3,444"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,692",59,4,3.50%,589,362,330,230,83,39,22,13,10,9,0,1,0,4,,399,"1,648","6,844"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"4,267",59,14,1.40%,"1,280",936,976,599,362,55,12,12,6,6,5,1,3,14,,380,"1,887","8,065"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,276,0,0,0.00%,90,74,69,41,2,0,0,0,0,0,0,0,0,0,,16,1,244
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,117,5,0,4.30%,56,39,10,4,2,1,1,3,1,0,0,0,0,0,,0,35,645
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,313,0,0,0.00%,57,88,108,33,13,14,0,0,0,0,0,0,0,0,,234,533,986
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,133,2,0,1.50%,13,42,36,28,6,6,0,1,0,1,0,0,0,0,,0,0,127
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,551,189,11,34.30%,95,85,58,66,28,30,59,26,29,47,15,1,1,11,,36,0,261
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,21,9,2,42.90%,2,3,4,3,0,0,1,2,0,1,2,1,0,2,,0,0,21
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,271,0,0,0.00%,89,67,45,47,20,3,0,0,0,0,0,0,0,0,,131,0,378
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,75,3,1,4.00%,15,18,16,17,4,2,0,1,0,0,1,0,0,1,,31,0,116
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",14,Cystoscopy,21,5,1,23.80%,3,9,1,2,1,0,0,1,2,1,0,0,0,1,,15,0,24
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,250,3,2,1.20%,73,76,47,32,15,4,1,0,0,0,0,0,0,2,,80,0,493
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",16,Total,"10,516",493,105,4.70%,"3,242","2,464","2,214","1,311",595,197,132,74,56,81,28,9,8,105,,"1,548","4,730","21,648"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,1,Magnetic Resonance Imaging,"7,749","3,459","1,442",44.60%,"1,179",970,879,661,354,247,333,310,344,299,271,226,234,"1,442",,816,"2,055","3,384"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,2,Computed Tomography,"3,249",248,16,7.60%,"1,025",794,557,401,152,72,55,66,46,34,23,4,4,16,,"1,074","6,321","5,845"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,3,Non-obstetric Ultrasound,"13,254","1,074",193,8.10%,"3,324","2,908","2,325","2,243",847,533,269,163,147,107,88,63,44,193,,933,"4,077","10,063"
