Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,303,2,0,0.70%,0,117,99,54,30,1,2,0,0,0,0,0,0,0,,"1,036",0,0
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,16,Total,303,2,0,0.70%,0,117,99,54,30,1,2,0,0,0,0,0,0,0,,"1,036",0,0
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"3,150",210,45,6.70%,634,609,586,473,401,237,67,48,8,10,14,13,5,45,,183,704,"4,408"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,903",48,6,2.50%,523,484,339,270,167,72,18,5,6,5,3,4,1,6,,286,"1,575","5,973"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,732",31,9,0.80%,891,673,816,610,535,176,8,2,1,4,4,2,1,9,,334,"1,896","7,222"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,294,0,0,0.00%,58,76,61,85,14,0,0,0,0,0,0,0,0,0,,12,2,243
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,172,1,0,0.60%,56,61,36,10,7,1,1,0,0,0,0,0,0,0,,0,8,580
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,373,3,0,0.80%,77,79,92,97,23,2,0,0,0,0,0,3,0,0,,247,538,732
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,107,4,0,3.70%,21,15,23,12,14,18,3,0,0,1,0,0,0,0,,0,0,149
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,548,139,2,25.40%,38,75,88,57,52,99,35,88,13,0,0,0,1,2,,67,0,183
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,38,5,3,13.20%,8,9,6,4,0,6,0,0,0,1,1,0,0,3,,0,0,23
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,378,6,0,1.60%,77,101,86,45,44,19,4,0,2,0,0,0,0,0,,138,0,327
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,116,5,0,4.30%,19,20,21,21,21,9,3,1,1,0,0,0,0,0,,24,0,106
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",14,Cystoscopy,29,5,1,17.20%,4,9,6,4,1,0,1,0,0,0,0,2,1,1,,23,0,27
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,356,10,1,2.80%,66,80,77,63,37,23,5,1,3,0,0,0,0,1,,89,0,468
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",16,Total,"11,196",467,67,4.20%,"2,472","2,291","2,237","1,751","1,316",662,145,145,34,21,22,24,9,67,,"1,403","4,723","20,441"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,1,Magnetic Resonance Imaging,"7,222","1,971",225,27.30%,"1,444","1,097",928,713,553,516,357,290,300,204,241,191,163,225,,676,"2,041","3,475"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,2,Computed Tomography,"3,661",527,11,14.40%,916,716,566,456,251,229,112,100,155,42,81,12,14,11,,885,"5,828","5,166"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,3,Non-obstetric Ultrasound,"20,498","5,326","1,813",26.00%,"3,381","2,758","2,668","2,453","2,024","1,888",831,596,452,407,495,370,362,"1,813",,"1,138","4,542","12,327"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,5,DEXA Scan,"1,803",778,158,43.20%,211,132,188,171,172,151,79,77,93,72,136,96,67,158,,46,38,726
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,"3,062","1,898","1,106",62.00%,208,252,171,199,183,151,143,133,114,93,114,138,57,"1,106",,208,192,"1,185"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,7,Cardiology - Echocardiography,"1,146",8,4,0.70%,334,238,191,159,90,126,1,1,1,1,0,0,0,4,,"1,625","1,593","1,454"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,8,Cardiology - Electrophysiology,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,12
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,9,Neurophysiology - Peripheral Neurophysiology,180,106,83,58.90%,16,11,10,15,16,6,4,5,4,0,5,4,1,83,,9,0,127
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,10,Respiratory physiology - Sleep Studies,156,25,20,16.00%,23,51,19,18,9,11,1,1,0,0,2,0,1,20,,"1,024",6,185
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,11,Urodynamics - Pressures & Flows,292,153,118,52.40%,47,41,14,14,9,14,4,4,10,4,5,7,1,118,,39,0,11
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,12,Colonoscopy,"1,036",97,30,9.40%,195,200,174,159,117,94,12,15,12,6,11,6,5,30,,30,5,590
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,13,Flexi Sigmoidoscopy,227,50,27,22.00%,40,50,27,30,19,11,4,3,5,4,3,2,2,27,,9,11,157
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,14,Cystoscopy,555,348,229,62.70%,30,40,59,46,13,19,22,20,7,22,18,9,21,229,,24,12,126
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,15,Gastroscopy,"1,041",261,113,25.10%,164,144,124,139,101,108,36,35,11,10,23,21,12,113,,58,46,784
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,16,Total,"40,879","11,548","3,937",28.20%,"7,009","5,730","5,139","4,572","3,557","3,324","1,606","1,280","1,164",865,"1,134",856,706,"3,937",,"5,771","14,314","26,325"
Y56,London Commissioning Region,ADW,Beehive Solutions Ltd,3,Non-obstetric Ultrasound,133,0,0,0.00%,14,19,21,23,26,30,0,0,0,0,0,0,0,0,,"1,654",0,8
Y56,London Commissioning Region,ADW,Beehive Solutions Ltd,16,Total,133,0,0,0.00%,14,19,21,23,26,30,0,0,0,0,0,0,0,0,,"1,654",0,8
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,1,Magnetic Resonance Imaging,9,1,0,11.10%,5,3,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,147
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,3,Non-obstetric Ultrasound,22,1,0,4.50%,8,9,1,2,0,1,0,0,0,0,0,1,0,0,,0,0,14
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,11,Urodynamics - Pressures & Flows,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,14,Cystoscopy,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5
Y56,London Commissioning Region,NT405,Bishops Wood Hospital,16,Total,31,2,0,6.50%,13,12,1,2,0,1,0,1,0,0,0,1,0,0,,0,0,167
Y56,London Commissioning Region,NT406,Blackheath Hospital,1,Magnetic Resonance Imaging,35,0,0,0.00%,18,13,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,105
Y56,London Commissioning Region,NT406,Blackheath Hospital,2,Computed Tomography,7,1,0,14.30%,3,1,0,0,2,0,0,0,0,1,0,0,0,0,,0,0,16
Y56,London Commissioning Region,NT406,Blackheath Hospital,3,Non-obstetric Ultrasound,34,1,0,2.90%,18,10,3,1,1,0,1,0,0,0,0,0,0,0,,0,0,39
Y56,London Commissioning Region,NT406,Blackheath Hospital,12,Colonoscopy,17,4,0,23.50%,5,3,3,1,1,0,0,0,0,1,1,1,1,0,,0,0,12
Y56,London Commissioning Region,NT406,Blackheath Hospital,13,Flexi Sigmoidoscopy,6,0,0,0.00%,3,0,0,1,2,0,0,0,0,0,0,0,0,0,,0,0,11
Y56,London Commissioning Region,NT406,Blackheath Hospital,14,Cystoscopy,19,1,0,5.30%,9,4,2,1,2,0,0,0,1,0,0,0,0,0,,0,0,10
