Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"3,773",233,44,6.20%,832,730,601,582,392,403,62,46,23,13,22,13,10,44,,142,746,"3,534"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,897",51,4,2.70%,598,446,326,259,154,63,31,6,3,2,2,3,0,4,,333,"1,726","5,724"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,819",29,7,0.80%,"1,309",954,829,469,204,25,8,1,6,7,0,0,0,7,,377,"1,736","6,955"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,271,0,0,0.00%,83,55,80,49,4,0,0,0,0,0,0,0,0,0,,20,3,214
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,177,0,0,0.00%,69,70,9,12,10,7,0,0,0,0,0,0,0,0,,0,5,495
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,540,3,0,0.60%,80,107,97,124,105,24,1,2,0,0,0,0,0,0,,202,570,626
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,163,30,2,18.40%,22,25,24,25,21,16,17,6,1,1,0,2,1,2,,0,0,129
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,518,69,0,13.30%,96,34,94,58,41,126,36,31,0,1,1,0,0,0,,65,0,195
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,22,2,0,9.10%,4,12,2,0,1,1,1,0,0,0,1,0,0,0,,0,0,31
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,350,1,0,0.30%,77,84,73,54,39,22,1,0,0,0,0,0,0,0,,122,0,344
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,99,2,0,2.00%,28,21,11,16,13,8,0,1,1,0,0,0,0,0,,27,0,96
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",14,Cystoscopy,28,9,2,32.10%,2,7,4,2,2,2,1,4,1,0,1,0,0,2,,16,0,34
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,389,5,2,1.30%,93,79,64,63,43,42,3,0,0,0,0,0,0,2,,69,0,448
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",16,Total,"12,046",434,61,3.60%,"3,293","2,624","2,214","1,713","1,029",739,161,97,35,24,27,18,11,61,,"1,373","4,786","18,825"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,1,Magnetic Resonance Imaging,"6,271","1,570",174,25.00%,"1,001","1,046",927,748,458,521,312,235,261,242,185,102,59,174,,673,"1,749","3,095"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,2,Computed Tomography,"3,909",637,74,16.30%,873,755,567,444,362,271,153,102,110,86,45,46,21,74,,907,"5,314","5,132"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,3,Non-obstetric Ultrasound,"20,603","5,386","1,805",26.10%,"3,186","2,918","2,876","2,473","1,747","2,017",870,482,508,493,522,389,317,"1,805",,948,"4,146","11,015"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,5,DEXA Scan,"2,020",949,139,47.00%,153,209,134,207,109,259,218,106,165,116,83,78,44,139,,37,43,441
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,"2,732","1,788","1,206",65.40%,189,191,188,142,128,106,137,73,112,85,74,61,40,"1,206",,186,170,975
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,7,Cardiology - Echocardiography,"1,208",6,4,0.50%,331,237,212,167,141,114,0,1,1,0,0,0,0,4,,"1,449","1,476","1,344"
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,8,Cardiology - Electrophysiology,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,9,Neurophysiology - Peripheral Neurophysiology,122,81,59,66.40%,18,2,6,6,0,9,4,1,4,8,2,2,1,59,,3,1,120
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,10,Respiratory physiology - Sleep Studies,129,23,22,17.80%,11,30,23,9,17,16,0,1,0,0,0,0,0,22,,914,5,130
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,11,Urodynamics - Pressures & Flows,251,151,114,60.20%,38,23,11,10,11,7,16,8,2,6,0,4,1,114,,30,0,13
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,12,Colonoscopy,"1,171",70,22,6.00%,235,277,204,183,107,95,13,11,8,7,2,5,2,22,,37,1,513
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,13,Flexi Sigmoidoscopy,265,50,15,18.90%,30,40,38,43,33,31,5,3,3,10,9,3,2,15,,3,13,143
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,14,Cystoscopy,679,347,231,51.10%,54,103,65,23,42,45,19,16,29,8,29,9,6,231,,15,6,65
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,15,Gastroscopy,"1,070",222,89,20.70%,193,196,168,115,83,93,28,24,11,9,28,17,16,89,,35,52,714
Y56,London Commissioning Region,R1H,Barts Health NHS Trust,16,Total,"40,430","11,280","3,954",27.90%,"6,312","6,027","5,419","4,570","3,238","3,584","1,775","1,063","1,214","1,070",979,716,509,"3,954",,"5,237","12,976","23,701"
