Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"3,038",147,55,4.80%,850,628,614,484,223,92,19,19,13,16,12,12,1,55,,181,637,"3,650"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,846",62,6,3.40%,568,380,376,294,127,39,28,21,3,0,2,2,0,6,,382,"1,587","6,447"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"2,729",49,24,1.80%,846,665,671,387,90,21,12,4,5,0,0,3,1,24,,324,"2,012","7,432"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,306,1,0,0.30%,90,76,71,57,11,0,0,0,0,1,0,0,0,0,,24,1,241
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,208,2,0,1.00%,39,57,53,43,9,5,0,0,0,1,1,0,0,0,,0,23,343
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,377,0,0,0.00%,51,122,115,56,27,6,0,0,0,0,0,0,0,0,,187,466,977
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,148,4,0,2.70%,27,30,23,34,7,23,3,1,0,0,0,0,0,0,,0,0,127
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,557,171,12,30.70%,82,94,58,63,53,36,26,34,41,53,2,3,0,12,,62,0,265
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,35,16,2,45.70%,4,1,6,3,2,3,3,4,4,0,1,2,0,2,,0,0,3
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,207,0,0,0.00%,71,52,37,33,12,2,0,0,0,0,0,0,0,0,,190,0,343
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,37,0,0,0.00%,7,14,7,4,4,1,0,0,0,0,0,0,0,0,,35,0,93
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",14,Cystoscopy,34,9,1,26.50%,4,11,8,2,0,0,2,1,2,2,0,1,0,1,,19,0,22
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",15,Gastroscopy,211,1,1,0.50%,76,50,30,30,15,9,0,0,0,0,0,0,0,1,,96,0,418
