Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,285,1,0,0.40%,0,127,86,46,22,3,1,0,0,0,0,0,0,0,,669,0,0
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,16,Total,285,1,0,0.40%,0,127,86,46,22,3,1,0,0,0,0,0,0,0,,669,0,0
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"3,621",271,50,7.50%,657,851,744,555,335,208,83,52,28,14,13,8,23,50,,130,729,"4,098"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,811",44,2,2.40%,510,430,370,247,154,56,15,10,5,1,2,2,7,2,,250,"1,578","6,301"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,116",37,5,1.20%,865,938,790,316,136,34,14,4,3,3,3,2,3,5,,422,"1,938","8,113"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,233,0,0,0.00%,61,76,74,21,1,0,0,0,0,0,0,0,0,0,,17,5,242
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,215,0,0,0.00%,70,84,47,10,3,1,0,0,0,0,0,0,0,0,,0,19,499
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,605,0,0,0.00%,120,161,162,135,19,8,0,0,0,0,0,0,0,0,,221,516,703
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,146,16,3,11.00%,13,29,28,22,18,20,5,4,2,1,0,1,0,3,,0,0,259
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,483,98,4,20.30%,44,132,43,80,38,48,53,37,4,0,0,0,0,4,,58,0,202
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,38,8,4,21.10%,5,10,6,5,2,2,2,1,0,0,0,0,1,4,,0,0,15
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,382,4,0,1.00%,62,118,91,45,36,26,0,0,4,0,0,0,0,0,,121,0,385
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",13,Flexi Sigmoidoscopy,92,2,0,2.20%,13,21,15,17,17,7,1,0,0,1,0,0,0,0,,40,0,106
