Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,398,0,0,0.00%,0,140,141,75,28,14,0,0,0,0,0,0,0,0,,"1,090",0,0
Y56,London Commissioning Region,K4F4F,Audiological Science Ltd,16,Total,398,0,0,0.00%,0,140,141,75,28,14,0,0,0,0,0,0,0,0,,"1,090",0,0
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"1,786",141,57,7.90%,759,315,358,110,66,37,25,16,8,4,11,6,14,57,,185,696,"4,370"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,978",40,2,2.00%,608,429,396,301,146,58,12,16,6,1,3,0,0,2,,333,"1,532","6,257"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,883",41,9,1.10%,"1,370",974,680,576,182,60,7,8,2,4,4,4,3,9,,376,"1,609","7,646"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,288,0,0,0.00%,69,85,73,41,20,0,0,0,0,0,0,0,0,0,,16,5,233
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,249,0,0,0.00%,84,86,63,13,1,2,0,0,0,0,0,0,0,0,,0,36,566
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,387,1,0,0.30%,61,99,93,75,49,9,0,0,0,1,0,0,0,0,,267,463,784
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,155,0,0,0.00%,40,36,41,31,7,0,0,0,0,0,0,0,0,0,,0,0,216
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,601,184,11,30.60%,58,113,76,73,45,52,61,38,38,32,0,1,3,11,,81,0,183
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,31,4,2,12.90%,12,8,2,5,0,0,1,1,0,0,0,0,0,2,,0,0,19
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,413,1,0,0.20%,82,131,77,69,29,24,1,0,0,0,0,0,0,0,,129,0,371
