Regional Team Code,Regional Team Name,Provider Code,Provider Name,Diagnostic ID,Diagnostic Test Name, Total Waiting List , Number waiting 6+ Weeks , Number waiting 13+ Weeks , Percentage waiting 6+ weeks , 0 <01 weeks , 01 <02 weeks , 02 <03 weeks , 03 <04 weeks , 04 <05 weeks , 05 <06 weeks , 06 <07 weeks , 07 <08 weeks , 08 <09 weeks , 09 <10 weeks , 10 <11 weeks , 11 <12 weeks , 12 <13 weeks , 13+ weeks ,, Planned tests / procedures , Unscheduled tests / procedures , Waiting list tests / procedures (excluding planned) 
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",1,Magnetic Resonance Imaging,"1,737",110,42,6.30%,645,399,332,150,60,41,7,20,9,11,11,6,4,42,,150,708,"4,530"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",2,Computed Tomography,"1,856",38,3,2.00%,555,398,313,263,200,89,14,10,2,1,4,1,3,3,,340,"1,697","6,311"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",3,Non-obstetric Ultrasound,"3,549",41,13,1.20%,956,718,762,672,272,128,7,5,5,5,3,2,1,13,,364,"1,876","8,266"
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",5,DEXA Scan,284,1,0,0.40%,80,50,65,72,16,0,1,0,0,0,0,0,0,0,,29,6,246
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,228,0,0,0.00%,59,89,48,26,4,2,0,0,0,0,0,0,0,0,,0,34,627
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",7,Cardiology - Echocardiography,467,0,0,0.00%,65,82,132,76,88,24,0,0,0,0,0,0,0,0,,227,495,728
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",9,Neurophysiology - Peripheral Neurophysiology,140,0,0,0.00%,30,46,33,8,3,20,0,0,0,0,0,0,0,0,,0,0,228
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",10,Respiratory physiology - Sleep Studies,379,68,1,17.90%,125,75,70,30,4,7,30,10,18,3,1,3,2,1,,95,0,206
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",11,Urodynamics - Pressures & Flows,21,8,3,38.10%,0,1,3,5,3,1,0,2,0,0,1,1,1,3,,0,0,25
Y56,London Commissioning Region,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",12,Colonoscopy,457,5,0,1.10%,77,107,102,82,53,31,5,0,0,0,0,0,0,0,,149,0,358
