Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,>0-1,>1-2,>2-3,>3-4,>4-5,>5-6,>6-7,>7-8,>8-9,>9-10,>10-11,>11-12,>12-13,>13-14,>14-15,>15-16,>16-17,>17-18,>18-19,>19-20,>20-21,>21-22,>22-23,>23-24,>24-25,>25-26,>26-27,>27-28,>28-29,>29-30,>30-31,>31-32,>32-33,>33-34,>34-35,>35-36,>36-37,>37-38,>38-39,>39-40,>40-41,>41-42,>42-43,>43-44,>44-45,>45-46,>46-47,>47-48,>48-49,>49-50,>50-51,>51-52,>52-53,>53-54,>54-55,>55-56,>56-57,>57-58,>58-59,>59-60,>60-61,>61-62,>62-63,>63-64,>64-65,>65-66,>66-67,>67-68,>68-69,>69-70,>70-71,>71-72,>72-73,>73-74,>74-75,>75-76,>76-77,>77-78,>78-79,>79-80,>80-81,>81-82,>82-83,>83-84,>84-85,>85-86,>86-87,>87-88,>88-89,>89-90,>90-91,>91-92,>92-93,>93-94,>94-95,>95-96,>96-97,>97-98,>98-99,>99-100,>100-101,>101-102,>102-103,>103-104,104 plus,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,197,152,112,106,65,107,78,79,49,68,83,60,59,73,78,92,65,39,38,55,52,57,36,65,58,55,38,40,62,43,46,31,66,47,37,24,26,36,22,28,18,17,19,31,19,17,24,22,23,31,19,27,12,13,17,15,19,23,10,9,11,7,15,6,12,12,14,13,10,1,4,6,3,1,4,2,-,-,-,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,"3,035","1,562",51.50%,16.9,52.1,244,5,75
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,240,217,181,200,105,164,183,201,164,152,161,151,130,106,170,118,168,104,94,160,119,95,111,98,103,116,94,110,80,99,97,114,91,92,98,59,112,79,69,58,69,63,47,62,52,60,46,53,48,54,60,28,27,32,33,21,20,28,19,27,26,20,25,24,29,23,25,18,13,4,10,10,4,8,7,5,4,3,1,-,2,1,1,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,179","2,915",47.20%,19.5,51.3,474,9,143
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,381,370,285,286,180,257,244,244,214,193,154,244,215,196,227,167,134,82,113,153,203,154,180,160,114,151,112,140,137,110,97,112,112,107,84,57,94,74,69,65,59,50,58,59,52,41,54,47,36,59,49,33,31,41,24,19,26,34,16,31,38,34,4,16,18,16,16,14,10,1,7,4,7,8,4,2,2,6,1,2,-,-,1,1,-,2,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,"7,707","4,073",52.80%,16,48,439,10,107
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,288,227,203,210,130,210,205,214,191,193,169,149,179,143,162,144,125,52,86,100,86,139,126,141,113,93,106,89,82,90,85,95,93,92,100,82,80,95,91,82,82,64,86,55,60,56,64,45,51,59,77,69,48,49,53,25,60,51,42,67,45,49,50,32,29,35,24,35,27,7,12,16,17,18,15,7,14,11,7,8,6,4,3,2,3,2,2,-,1,2,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,"6,990","3,194",45.70%,21.2,58.9,882,44,282
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,334,211,184,222,130,254,215,173,173,169,145,162,153,155,125,105,88,45,72,120,92,117,114,128,107,124,91,79,91,66,65,65,54,53,50,45,57,42,43,27,25,25,26,13,21,21,16,11,7,9,8,4,9,3,4,3,3,4,3,2,2,-,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,968","3,043",61.30%,12.7,35.9,37,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,227,177,169,173,109,179,179,171,209,177,156,149,190,172,139,151,128,58,176,137,130,114,122,94,92,110,129,124,134,104,116,107,129,117,96,81,112,115,104,104,109,88,89,87,72,97,95,61,37,53,74,63,45,67,63,41,48,47,41,61,73,51,42,38,28,38,21,23,19,7,9,16,8,17,14,12,10,7,5,3,5,5,4,2,6,1,2,8,1,-,2,1,1,-,2,-,-,3,-,-,-,-,-,-,-,"7,282","2,913",40.00%,23.5,58.1,897,51,252
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,64,29,38,28,21,29,34,29,30,31,23,26,33,46,21,36,29,21,38,49,30,43,34,25,22,23,16,15,28,22,26,14,19,18,9,8,13,16,7,17,16,6,15,7,10,13,7,7,6,14,10,7,4,9,2,5,3,7,4,6,3,7,6,4,5,4,3,2,3,1,1,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,262",568,45.00%,19.5,50,84,4,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,68,38,39,47,37,29,33,32,31,24,24,31,24,22,22,27,24,7,16,22,20,13,18,33,34,16,36,16,24,34,21,15,25,19,18,16,15,19,15,17,6,8,10,7,10,10,8,8,4,5,4,2,8,5,5,5,5,7,8,6,3,3,3,8,2,6,2,2,1,-,2,2,-,1,-,1,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,191",559,46.90%,19.9,49.7,88,1,20
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,2,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,80.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,-,3,1,-,1,-,-,1,-,-,-,1,2,2,-,-,-,-,-,1,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,11,55.00%,13.5,47.2,-,-,-
