Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,>0-1,>1-2,>2-3,>3-4,>4-5,>5-6,>6-7,>7-8,>8-9,>9-10,>10-11,>11-12,>12-13,>13-14,>14-15,>15-16,>16-17,>17-18,>18-19,>19-20,>20-21,>21-22,>22-23,>23-24,>24-25,>25-26,>26-27,>27-28,>28-29,>29-30,>30-31,>31-32,>32-33,>33-34,>34-35,>35-36,>36-37,>37-38,>38-39,>39-40,>40-41,>41-42,>42-43,>43-44,>44-45,>45-46,>46-47,>47-48,>48-49,>49-50,>50-51,>51-52,>52-53,>53-54,>54-55,>55-56,>56-57,>57-58,>58-59,>59-60,>60-61,>61-62,>62-63,>63-64,>64-65,>65-66,>66-67,>67-68,>68-69,>69-70,>70-71,>71-72,>72-73,>73-74,>74-75,>75-76,>76-77,>77-78,>78-79,>79-80,>80-81,>81-82,>82-83,>83-84,>84-85,>85-86,>86-87,>87-88,>88-89,>89-90,>90-91,>91-92,>92-93,>93-94,>94-95,>95-96,>96-97,>97-98,>98-99,>99-100,>100-101,>101-102,>102-103,>103-104,104 plus,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,214,165,171,151,133,99,126,124,111,106,119,116,126,84,81,78,85,99,98,92,93,71,56,70,63,80,66,69,74,64,63,48,58,53,62,53,50,45,28,41,47,42,32,16,30,38,22,27,21,25,25,22,17,14,16,22,8,6,13,6,8,8,12,15,5,2,3,1,1,2,2,2,1,1,-,1,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,102","2,188",53.30%,16.6,45.6,170,3,20
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,291,184,209,137,153,90,155,202,153,163,158,155,120,154,175,169,112,119,191,130,87,94,73,127,84,71,81,106,76,93,75,57,91,93,70,56,72,67,51,70,60,65,59,35,53,49,62,55,28,23,27,33,18,23,23,20,20,4,19,15,10,8,4,11,5,4,1,5,2,3,-,2,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,562","2,899",52.10%,17,45.6,199,1,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,350,311,308,290,162,172,301,231,251,276,235,240,226,186,263,208,179,211,201,192,179,182,143,185,166,146,153,119,107,95,95,138,139,119,112,75,91,108,87,69,93,74,48,41,50,59,51,47,43,56,33,37,24,22,22,20,10,9,16,16,13,9,8,4,10,2,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,123","4,400",54.20%,16.3,42.1,190,-,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,281,202,263,210,146,98,203,195,182,217,182,172,144,159,174,153,162,143,163,152,150,111,78,113,115,91,99,100,112,95,91,113,111,149,142,75,111,105,75,99,92,95,74,46,80,70,69,56,58,97,57,48,63,56,42,34,30,13,31,30,26,32,29,26,18,12,9,6,9,-,6,8,4,4,3,2,1,1,1,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,078","3,286",46.40%,19.6,50.7,500,5,70
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,285,267,254,212,124,150,201,195,189,174,176,145,167,211,162,195,128,94,104,91,90,81,73,90,71,79,55,44,66,74,50,47,43,44,38,33,38,35,19,30,20,20,18,8,12,13,10,12,9,7,6,4,-,3,1,3,1,-,2,2,-,1,1,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,781","3,329",69.60%,12.1,33.3,18,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,205,161,181,136,84,120,174,183,163,187,175,186,175,190,194,189,152,194,171,173,129,140,103,112,120,73,110,127,144,119,129,124,151,143,117,67,103,79,66,65,62,64,46,17,37,49,61,47,84,62,35,50,41,67,58,31,13,5,21,18,15,13,8,8,9,8,5,2,2,3,-,3,3,-,1,2,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,"6,568","3,049",46.40%,19.4,48.5,340,4,33
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,60,51,57,83,50,45,66,65,54,58,54,46,40,26,30,35,31,30,42,40,28,36,9,22,15,22,13,15,17,20,9,7,7,9,4,3,9,9,11,6,8,3,9,3,4,4,3,5,2,3,3,3,-,1,2,1,2,-,1,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,294",881,68.10%,11.1,33.8,10,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,72,58,30,37,23,28,45,25,47,61,36,32,31,21,28,33,24,46,23,39,28,33,17,21,25,19,19,28,13,9,12,11,31,15,10,14,14,12,10,15,15,20,12,7,12,15,8,14,8,7,9,13,5,4,5,6,3,-,3,2,5,1,2,2,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,276",677,53.10%,17.2,45.9,41,-,2
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,-,1,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,100.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,4,-,1,1,-,-,-,1,3,1,2,1,2,-,-,-,4,2,-,-,-,-,1,1,-,2,1,-,1,-,-,1,1,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,22,66.70%,16.1,33.4,-,-,-
