Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,>0-1,>1-2,>2-3,>3-4,>4-5,>5-6,>6-7,>7-8,>8-9,>9-10,>10-11,>11-12,>12-13,>13-14,>14-15,>15-16,>16-17,>17-18,>18-19,>19-20,>20-21,>21-22,>22-23,>23-24,>24-25,>25-26,>26-27,>27-28,>28-29,>29-30,>30-31,>31-32,>32-33,>33-34,>34-35,>35-36,>36-37,>37-38,>38-39,>39-40,>40-41,>41-42,>42-43,>43-44,>44-45,>45-46,>46-47,>47-48,>48-49,>49-50,>50-51,>51-52,>52-53,>53-54,>54-55,>55-56,>56-57,>57-58,>58-59,>59-60,>60-61,>61-62,>62-63,>63-64,>64-65,>65-66,>66-67,>67-68,>68-69,>69-70,>70-71,>71-72,>72-73,>73-74,>74-75,>75-76,>76-77,>77-78,>78-79,>79-80,>80-81,>81-82,>82-83,>83-84,>84-85,>85-86,>86-87,>87-88,>88-89,>89-90,>90-91,>91-92,>92-93,>93-94,>94-95,>95-96,>96-97,>97-98,>98-99,>99-100,>100-101,>101-102,>102-103,>103-104,104 plus,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,188,161,170,168,144,122,96,152,100,106,97,94,46,79,72,64,63,44,83,78,60,42,44,57,50,44,41,47,33,51,29,21,40,38,46,30,44,38,40,29,34,29,23,26,23,31,41,24,16,19,20,18,17,10,15,8,10,8,6,9,12,14,10,8,10,5,5,3,8,9,9,3,3,7,1,3,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,"3,452","1,966",57.00%,14,47.7,197,4,60
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,215,251,204,337,145,203,214,157,127,147,121,146,104,138,129,107,129,77,102,97,97,108,80,103,75,81,75,111,88,101,86,43,129,75,85,78,64,68,94,58,68,53,57,56,86,41,53,62,31,51,31,34,26,34,31,23,13,16,14,18,12,10,13,16,15,4,10,10,5,3,8,3,6,3,3,4,1,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,"5,779","2,951",51.10%,17.2,47.9,307,2,66
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,408,319,313,269,342,384,270,278,235,160,248,241,181,183,206,149,141,113,141,130,147,125,98,106,130,114,111,135,116,87,53,44,110,120,103,92,116,68,98,81,91,78,81,53,71,66,60,55,39,49,45,41,32,25,28,26,21,13,13,16,14,15,18,10,13,11,7,8,5,8,4,7,5,8,6,2,1,2,1,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,817","4,440",56.80%,14.4,45.8,323,5,79
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,212,207,209,221,199,235,222,263,218,144,192,153,135,176,184,145,124,95,149,151,142,140,139,132,76,120,99,126,89,72,49,58,74,67,96,106,106,86,66,70,66,63,63,64,66,74,63,68,63,65,51,67,58,49,53,57,38,26,31,17,17,18,19,31,27,19,20,20,4,23,17,13,12,19,7,9,4,6,6,3,3,2,1,-,1,1,3,2,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,959","3,334",47.90%,19,53.5,639,25,198
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,222,171,254,202,189,182,204,191,215,142,212,164,119,169,121,117,109,92,130,136,96,104,89,75,82,72,72,66,65,50,34,21,62,49,63,75,71,59,46,44,40,27,31,26,23,21,12,19,14,20,12,4,5,6,3,5,5,2,2,2,2,1,-,-,-,3,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,924","3,075",62.40%,13,37.7,39,-,6
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,229,220,197,170,178,215,183,236,184,147,146,155,122,152,156,133,167,88,161,154,158,122,160,134,99,132,127,112,123,133,64,120,83,100,76,73,73,66,89,92,110,104,82,55,56,66,74,48,39,56,56,43,55,44,24,34,34,26,32,46,27,14,25,28,19,21,18,20,5,14,8,13,11,20,11,14,10,8,8,5,1,3,2,2,3,4,3,1,1,1,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,"6,936","3,078",44.40%,20.5,53.2,618,37,210
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,48,35,60,35,38,37,44,46,32,26,30,48,44,41,28,29,33,15,24,30,17,28,21,17,16,16,35,17,16,16,15,16,21,8,21,18,11,13,14,8,5,14,10,14,9,6,7,7,3,6,12,4,8,9,2,1,4,3,4,4,1,1,2,3,3,-,2,-,2,-,1,2,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,219",669,54.90%,15.6,45.4,55,-,10
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,78,37,51,22,21,22,43,20,17,20,29,23,22,30,26,29,24,21,22,20,20,17,21,17,19,17,16,18,21,10,13,10,13,9,19,12,22,23,18,21,13,15,30,17,4,25,8,15,7,4,3,4,7,3,4,3,6,5,5,2,6,2,2,3,1,1,-,2,1,3,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,118",535,47.90%,19.1,47.2,60,-,11
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,2,-,-,-,2,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,85.70%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,1,-,3,-,-,3,1,1,2,-,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,15,83.30%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,282,214,258,255,257,281,235,240,223,171,228,228,209,209,187,239,198,125,209,211,219,157,155,146,119,144,161,174,165,114,91,69,108,133,86,111,97,101,109,83,97,100,94,102,96,73,74,48,33,37,67,61,79,46,29,16,14,8,8,10,10,21,7,2,3,3,2,3,1,1,1,-,2,2,1,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,157","4,039",49.50%,18.2,45.2,274,1,21
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,559,500,451,484,455,399,375,346,300,261,264,302,230,279,284,212,222,150,209,229,213,250,189,168,165,190,155,148,180,114,82,98,158,150,102,98,82,91,65,56,51,43,41,27,37,33,21,18,11,10,13,11,6,4,-,3,2,1,-,-,-,1,-,1,1,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,605","6,073",63.20%,12.5,34.6,24,1,5
Y56,R1H,BARTS HEALTH NHS TRUST,C_330,Dermatology Service,431,224,264,195,205,185,177,206,196,175,179,176,126,141,171,122,140,82,107,137,113,105,129,95,98,127,115,102,81,66,50,51,82,110,79,103,89,90,74,60,61,66,74,72,96,103,86,91,63,81,75,79,76,75,49,64,35,52,12,11,9,2,1,2,3,-,4,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,804","3,395",49.90%,18.1,50.1,399,-,8
Y56,R1H,BARTS HEALTH NHS TRUST,C_340,Respiratory Medicine Service,301,230,266,261,235,218,201,229,152,159,143,185,142,148,180,139,177,71,139,138,158,95,99,123,130,104,114,109,148,136,46,61,96,105,68,51,65,45,58,53,36,35,32,31,27,33,31,28,15,26,18,28,7,2,2,4,12,12,7,5,8,1,1,6,1,1,-,1,-,-,1,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,993","3,437",57.40%,14.7,38.8,75,1,7
Y56,R1H,BARTS HEALTH NHS TRUST,C_400,Neurology Service,99,60,83,73,85,87,59,65,50,41,67,57,46,63,70,48,56,48,58,59,50,50,56,48,50,53,57,57,43,43,18,23,36,29,21,27,24,27,28,25,33,44,22,21,15,16,17,17,11,5,11,13,7,13,4,14,3,1,2,2,4,3,3,2,1,1,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,327","1,157",49.70%,18.1,43.1,63,-,4
Y56,R1H,BARTS HEALTH NHS TRUST,C_410,Rheumatology Service,96,89,73,93,65,72,78,56,57,39,75,46,24,31,40,22,24,9,12,10,14,8,5,6,9,7,10,3,10,8,5,4,2,2,5,2,7,-,2,3,1,2,-,4,2,3,-,-,3,2,2,2,3,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,149",989,86.10%,7.2,25.6,5,-,1
Y56,R1H,BARTS HEALTH NHS TRUST,C_430,Elderly Medicine Service,41,38,24,33,28,33,20,16,22,19,22,8,12,16,7,7,7,4,4,3,4,10,2,3,2,4,-,-,-,1,-,-,-,-,1,1,3,3,2,5,1,-,2,1,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415,357,86.00%,6.5,23.6,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_502,Gynaecology Service,537,327,463,388,361,337,322,428,388,329,396,304,239,328,273,250,251,141,232,237,215,218,200,187,194,198,162,140,173,137,101,70,136,147,128,147,161,140,112,109,90,80,121,102,76,90,87,75,57,45,62,70,61,44,42,47,24,36,29,29,42,35,26,26,13,11,25,15,11,16,8,11,16,13,10,7,5,7,3,3,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,183","6,062",54.20%,15.7,47.5,622,13,168
Y56,R1H,BARTS HEALTH NHS TRUST,X02,Other - Medical Services,"1,126",839,871,815,773,793,640,670,583,529,524,449,416,464,413,395,409,241,467,306,340,319,312,292,323,310,276,250,263,201,136,129,270,200,197,185,178,202,164,148,166,144,188,165,172,140,127,93,78,83,80,92,60,57,61,44,32,9,15,8,4,7,11,8,2,4,5,3,3,5,5,3,3,2,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,300","10,950",59.80%,13.3,42.6,354,2,36
Y56,R1H,BARTS HEALTH NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
