Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,>0-1,>1-2,>2-3,>3-4,>4-5,>5-6,>6-7,>7-8,>8-9,>9-10,>10-11,>11-12,>12-13,>13-14,>14-15,>15-16,>16-17,>17-18,>18-19,>19-20,>20-21,>21-22,>22-23,>23-24,>24-25,>25-26,>26-27,>27-28,>28-29,>29-30,>30-31,>31-32,>32-33,>33-34,>34-35,>35-36,>36-37,>37-38,>38-39,>39-40,>40-41,>41-42,>42-43,>43-44,>44-45,>45-46,>46-47,>47-48,>48-49,>49-50,>50-51,>51-52,>52-53,>53-54,>54-55,>55-56,>56-57,>57-58,>58-59,>59-60,>60-61,>61-62,>62-63,>63-64,>64-65,>65-66,>66-67,>67-68,>68-69,>69-70,>70-71,>71-72,>72-73,>73-74,>74-75,>75-76,>76-77,>77-78,>78-79,>79-80,>80-81,>81-82,>82-83,>83-84,>84-85,>85-86,>86-87,>87-88,>88-89,>89-90,>90-91,>91-92,>92-93,>93-94,>94-95,>95-96,>96-97,>97-98,>98-99,>99-100,>100-101,>101-102,>102-103,>103-104,104 plus,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y56,R1H,BARTS HEALTH NHS TRUST,C_100,General Surgery Service,139,152,134,177,98,139,106,78,99,115,104,66,56,71,75,63,54,37,68,63,53,52,57,47,46,43,29,38,47,44,42,36,55,38,50,34,32,39,31,32,24,58,31,21,20,21,23,21,22,21,19,22,16,12,5,15,15,19,13,11,15,5,9,8,12,10,13,3,9,6,2,3,1,4,4,4,3,2,-,-,3,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,266","1,763",54.00%,15.4,50.2,224,5,69
Y56,R1H,BARTS HEALTH NHS TRUST,C_101,Urology Service,263,229,219,160,179,174,171,122,160,157,171,154,108,119,124,137,109,121,110,102,91,97,104,123,107,124,51,130,92,100,80,90,78,92,96,80,89,58,68,77,81,65,78,62,63,79,61,58,53,41,38,26,23,24,20,26,19,23,22,24,15,14,18,7,7,19,12,6,11,10,5,7,5,5,6,4,4,1,-,-,1,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,"5,964","2,877",48.20%,19,48.5,343,6,101
Y56,R1H,BARTS HEALTH NHS TRUST,C_110,Trauma and Orthopaedic Service,421,385,323,326,184,230,320,233,291,276,207,160,148,153,178,156,150,127,143,114,150,139,128,148,123,81,45,98,111,135,105,135,106,91,108,92,97,100,78,82,88,98,71,46,54,67,50,55,42,39,45,43,26,34,16,24,16,24,28,19,18,18,23,9,9,16,13,13,16,13,9,5,8,7,7,3,-,2,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,754","4,268",55.00%,15.3,46.7,379,3,115
Y56,R1H,BARTS HEALTH NHS TRUST,C_120,Ear Nose and Throat Service,271,252,285,303,193,221,207,122,209,211,167,162,142,124,160,193,161,136,176,125,107,150,106,133,107,71,38,91,77,83,121,108,118,85,92,75,74,78,78,72,72,81,77,64,86,65,62,78,56,66,56,68,39,30,30,25,13,27,35,37,34,28,24,19,21,27,27,19,28,18,17,24,13,7,13,7,14,2,-,3,4,7,6,2,1,1,3,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,124","3,519",49.40%,18.2,53,609,31,247
Y56,R1H,BARTS HEALTH NHS TRUST,C_130,Ophthalmology Service,203,205,221,243,203,201,249,157,165,192,131,131,122,117,183,116,137,136,112,93,90,99,84,86,76,51,30,55,67,67,80,84,79,66,77,50,47,54,32,38,34,28,26,27,31,27,15,10,11,6,11,11,5,4,3,6,3,1,-,1,2,2,-,2,1,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,899","3,112",63.50%,13.2,37,33,-,3
Y56,R1H,BARTS HEALTH NHS TRUST,C_140,Oral Surgery Service,224,221,222,230,149,195,158,124,169,146,162,143,144,124,156,180,135,184,137,114,125,145,134,117,119,93,53,173,112,94,84,86,76,80,91,114,115,97,86,94,94,94,75,50,64,73,60,71,48,62,58,49,46,42,65,62,30,34,34,27,31,30,33,19,23,17,22,16,27,28,15,18,12,10,12,4,8,5,1,2,7,4,4,1,3,1,1,1,2,1,1,-,-,-,-,-,3,-,-,-,-,1,-,-,-,"6,906","3,066",44.40%,21.1,55,703,33,227
Y56,R1H,BARTS HEALTH NHS TRUST,C_150,Neurosurgical Service,28,37,41,48,20,53,29,47,43,50,27,29,28,29,28,25,29,24,25,18,22,26,39,25,22,24,15,38,20,12,26,15,16,17,9,10,12,16,10,19,8,10,12,6,4,15,9,6,15,13,4,6,5,11,6,5,3,5,12,5,3,3,3,3,1,2,5,1,5,1,3,2,2,1,-,2,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,250",615,49.20%,18.4,50.3,91,1,26
Y56,R1H,BARTS HEALTH NHS TRUST,C_160,Plastic Surgery Service,36,56,36,28,21,22,40,25,30,45,36,26,27,25,25,27,23,22,22,20,22,16,23,23,16,16,7,15,17,21,14,19,26,24,15,26,19,16,29,14,12,20,20,9,14,2,7,9,12,5,3,9,7,11,7,9,4,4,2,4,2,4,3,5,5,3,5,5,1,1,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,178",550,46.70%,19.9,51.1,86,1,19
Y56,R1H,BARTS HEALTH NHS TRUST,C_170,Cardiothoracic Surgery Service,3,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,100.00%,-,-,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_300,General Internal Medicine Service,2,2,1,4,4,-,-,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,19,86.40%,4.5,34.2,-,-,-
Y56,R1H,BARTS HEALTH NHS TRUST,C_301,Gastroenterology Service,293,330,299,287,219,244,272,219,254,215,249,228,172,182,218,270,264,173,221,165,166,195,215,210,233,98,68,125,158,133,113,126,116,122,111,109,138,109,121,112,139,128,104,74,78,75,104,114,83,71,50,54,34,37,37,25,29,24,9,4,6,14,12,5,11,13,2,5,4,6,2,5,5,2,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,922","4,388",49.20%,18.3,46.6,296,-,49
Y56,R1H,BARTS HEALTH NHS TRUST,C_320,Cardiology Service,487,492,436,389,291,364,363,310,357,339,335,252,256,229,304,273,298,269,219,173,211,232,180,184,191,109,59,185,165,165,121,114,116,117,79,84,78,57,68,48,57,37,28,18,27,24,21,22,18,22,6,7,5,3,2,3,2,5,-,2,2,3,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,316","6,044",64.90%,12.9,33.9,30,-,2
